formatted_work_date,cts_urn,author,title
-0062-01/-0009-12,tlg0357.tlg001,Didymus Alexandrinus,Mensurae marmorum ac lignorum
-0059-01/-0029-12,tlg0060.tlg001,Diodorus Siculus,Historical Library
-0049-01/+0001-12,tlg1763.tlg001,Tryphon II Grammaticus,De tropis (olim sub auctore Gregorio Corintho)
-0029-01/-0006-12,tlg0081.tlg002,Dionysius of Halicarnassus,De antiquis oratoribus
-0029-01/-0006-12,tlg0081.tlg003,Dionysius of Halicarnassus,De Lysia
-0029-01/-0006-12,tlg0081.tlg004,Dionysius of Halicarnassus,De Isocrate
-0029-01/-0006-12,tlg0081.tlg005,Dionysius of Halicarnassus,De Isaeo
-0029-01/-0006-12,tlg0081.tlg006,Dionysius of Halicarnassus,De Demosthenis dictione
-0029-01/-0006-12,tlg0081.tlg008,Dionysius of Halicarnassus,Ad Ammaeum
-0029-01/-0006-12,tlg0081.tlg009,Dionysius of Halicarnassus,De Dinarcho
-0029-01/-0006-12,tlg0081.tlg010,Dionysius of Halicarnassus,De Thucydide
-0029-01/-0006-12,tlg0081.tlg011,Dionysius of Halicarnassus,De Thucydidis idiomatibus
-0029-01/-0006-12,tlg0081.tlg012,Dionysius of Halicarnassus,De Compositione Verborum
-0029-01/-0006-12,tlg0081.tlg015,Dionysius of Halicarnassus,Epistula ad Pompeium Geminum
-0007-01/-0006-12,tlg0081.tlg001,Dionysius of Halicarnassus,Antiquitates Romanae
-1100-01/-0500-12,tlg1801.tlg001,Parodica Anonyma,Incertorum fragmenta
-0899-01/-0700-12,tlg1802.tlg001,Versus heroici,Versus heroici
-0724-01/-0700-12,tlg1749.tlg001,Vitae Hesiodi Particula,Vitae Hesiodi Particula
-0599-01/-0400-12,tlg0579.tlg010,Orphica,Fragmenta
-0599-01/-0500-12,tlg0096.tlg002,Aesop,Fabulae
-0599-01/-0500-12,tlg1347.tlg004,Epimenides,Fragmenta
-0599-01/-0549-12,tlg1705.tlg001,Thales,Epistulae
-0599-01/-0599-12,tlg0632.tlg002,Pythagoras,Epistulae
-0599-01/-0599-12,tlg1681.tlg001,Solonis Epistulae,Epistulae
-0569-01/-0554-12,tlg0053.tlg001,Phalaridis Epistulae,Epistulae
-0549-01/-0499-12,tlg0233.tlg001,Hipponax,Fragmentum (128)
-0524-01/-0474-12,tlg1562.tlg002,Parmenides,Fragmenta
-0499-01/-0300-12,tlg0751.tlg005,Pseudo-Hippocrates,Ἑρμηνεία περὶ ἐνεργῶν λίθων
-0499-01/-0300-12,tlg0751.tlg034,Pseudo-Hippocrates,De septimestri partu
